id,name,type,description,race,archetype,tcgplayer price,cardmarket price,ebay price,amazon price,coolstuffinc price
34707034,Abyss-squall,Trap Card,"Target 3 ""Mermail"" monsters in your Graveyard; Special Summon those targets in face-up Defense Position. Their effects are negated and they cannot declare an attack. Destroy them during the End Phase.",Normal,Mermail,0.47,0.51,2.29,1.38,0.49
10286023,Adamancipator Crystal - Dragite,Effect Monster,"If this card is Special Summoned by the effect of an ""Adamancipator"" card: You can draw 1 card. If this card is in your GY: You can target 1 WATER Synchro Monster you control or in your GY; return it to the Extra Deck, and if you do, place this card on top of the Deck. You can only use each effect of ""Adamancipator Crystal - Dragite"" once per turn.",Rock,Adamancipator,0.21,0.09,0.99,0.49,0.25
46552140,Adamancipator Laputite,Spell Card,"All Rock monsters you control gain 500 ATK/DEF. Once per turn, during your Main Phase: You can take up to 5 ""Adamancipator"" cards from your Deck and place them on top of your Deck in any order.",Field,Adamancipator,0.11,0.11,1.94,4.82,0.25
47674738,Adamancipator Risen - Leonite,Synchro Monster,"1 Tuner + 1+ non-Tuner monsters
During your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can add 1 excavated ""Adamancipator"" card to your hand, also place the rest on the bottom of your Deck in any order. During your opponent's turn, if a FIRE monster is in your GY (Quick Effect): You can target 1 Rock monster in your GY; Special Summon it. You can only use each effect of ""Adamancipator Risen - Leonite"" once per turn.",Rock,Adamancipator,0.14,0.18,0.99,4.82,0.49
72957245,Adamancipator Signs,Spell Card,"Target 1 Rock monster in your GY; Special Summon it in Defense Position, then, if you Special Summoned an ""Adamancipator"" monster by this effect, you can take 1 Level 4 or lower Rock monster from your Deck and place it on top of your Deck.",Normal,Adamancipator,0.25,0.38,0.99,1.49,0.49
53828396,Adhesive Explosive,Effect Monster,"Before damage calculation, if this card was attacked by an opponent's monster and was in face-down Defense Position at the start of the Damage Step: Equip this card to the attacking monster. Then, during your opponent's next Standby Phase, destroy the monster this card is equipped to.",Machine,,0.15,0.02,4.2,1.06,0.25
83575471,Advanced Crystal Beast Ruby Carbuncle,Effect Monster,"If ""Advanced Dark"" is not in the Field Zone, send this monster to the GY. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY. If this card is treated as a Continuous Spell: You can Special Summon this card, then you can Special Summon as many ""Advanced Crystal Beast"" Monster Cards as possible from your Spell & Trap Zone. You can only use this effect of ""Advanced Crystal Beast Ruby Carbuncle"" once per turn.",Fairy,Advanced Crystal Beast,0.3,0.64,3.0,0.25,2.99
12644061,Advanced Dark,Spell Card,"All ""Crystal Beast"" monsters on the field and in the GY become DARK. If an ""Ultimate Crystal"" monster attacks, negate the effects of the attack target during that Battle Phase. During damage calculation, if a ""Crystal Beast"" monster you control battles and you would take damage: You can send 1 ""Crystal Beast"" monster from your Deck to the GY; you take no battle damage from that battle.",Field,Crystal Beast,0.06,0.03,1.5,0.25,0.25
10678778,Aegaion the Sea Castrum,XYZ Monster,"2 Level 8 monsters
During either player's turn: You can banish 1 random face-down monster from your opponent's Extra Deck, face-up, and if you do, this card's ATK becomes equal to the banished monster's. During either player's turn: You can detach 1 Xyz Material from this card, then target 1 of your opponent's banished Fusion, Synchro, or Xyz Monsters; return it to the Extra Deck, and if you do, destroy 1 monster your opponent controls with the same monster card type (Fusion, Synchro, or Xyz). You can only use each effect of ""Aegaion the Sea Castrum"" once per turn.",Machine,,0.15,0.1,2.95,0.25,0.25
86377375,"Ahrima, the Wicked Warden",Effect Monster,"You can discard this card; add 1 ""Lair of Darkness"" from your Deck to your hand. You can Tribute 1 DARK monster; draw 1 card, or, if you Tributed a DARK monster other than this card to activate this effect, you can add 1 DARK monster with 2000 or more DEF from your Deck to your hand, instead. You can only use this effect of ""Ahrima, the Wicked Warden"" once per turn.",Fiend,,0.1,0.26,1.69,4.98,0.49
98864751,Air Cracking Storm,Spell Card,Equip only to a Machine monster. When that attacking monster destroys your opponent's monster by battle: You can activate this effect; it can make a second attack during this Battle Phase. Your other monsters cannot attack the turn you activate this effect.,Equip,,0.07,0.05,0.99,0.45,0.25
18036057,Airknight Parshath,Effect Monster,"If this card attacks a Defense Position monster, inflict piercing battle damage. If this card inflicts battle damage to your opponent: Draw 1 card.",Fairy,Parshath,0.17,0.1,0.99,21.57,0.39
38035986,Akakieisu,Normal Monster,A sorcerer who utters spells that render monsters unconscious.,Spellcaster,,0.0,0.0,5.0,2.01,0.0
28776350,Akashic Magician,Link Monster,"2 monsters with the same Type, except Tokens
You can only Link Summon ""Akashic Magician(s)"" once per turn. If this card is Link Summoned: Return all monsters this card points to to the hand. Once per turn: You can declare 1 card name; excavate cards from the top of your Deck, equal to the total Link Rating of the Link Monsters co-linked to this card, then if you excavated any copies of the declared card, add them to your hand, also send the remaining cards to the GY.",Spellcaster,,1.05,1.18,3.99,0.75,0.99
38837163,"Akz, the Pumer",Effect Monster,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 2 Beast-Warrior-Type monsters in your Graveyard. Once per turn, you can discard 1 Beast-Warrior-Type monster to activate 1 of the following effects: ● Double this card's ATK until the End Phase. ● This card can attack your opponent directly this turn.",Beast-Warrior,,0.2,0.23,9.99,0.2,0.25
3410461,Alba-Lenatus the Abyss Dragon,Fusion Monster,"1 ""Fallen of Albaz"" + 1+ Dragon monsters
Cannot be used as Fusion Material. Must be either Fusion Summoned, or Special Summoned by sending the above cards from any Monster Zones to the GY. This card can attack monsters a number of times each Battle Phase, up to the number of materials used for it. Once per turn, during the End Phase, if this card is in the GY because it was sent there this turn: You can add 1 ""Polymerization"" Normal Spell or ""Fusion"" Normal Spell from your Deck to your hand.",Dragon,,0.22,0.25,11.95,33.99,1.99
25451383,Albion the Shrouded Dragon,Effect Monster,"This card's name becomes ""Fallen of Albaz"" while on the field or in the GY. If this card is in your hand or GY: You can send 1 ""Fallen of Albaz"" or 1 ""Branded"" Spell/Trap from your hand or Deck to the GY; apply the following effect based on where you sent it from.
● Hand: Special Summon this card.
● Deck: Place this card on the bottom of the Deck, then, if you placed this card from your hand, draw 1 card.
You can only use this effect of ""Albion the Shrouded Dragon"" once per turn.",Dragon,,0.15,0.08,2.25,0.25,0.25
65301952,Alchemic Magician,XYZ Monster,"3 Level 4 Spellcaster-Type monsters
This card gains 200 ATK for each Spell Card in your Graveyard. Once per turn, during your End Phase: You can detach 1 Xyz Material from this card and send 1 card from your hand to the Graveyard; choose 1 Spell Card from your Deck, then Set it in your Spell & Trap Card Zone.",Spellcaster,,3.03,3.32,4.49,22.5,5.99
78121572,Alchemist of Black Spells,Effect Monster,"Once per turn, you can change this face-up Attack Position card you control to face-up Defense Position and place 1 Spell Counter on a face-up card you control that you can place a Spell Counter on.",Spellcaster,,0.18,0.18,3.99,9.0,0.39
38468214,Alien Hypno,Gemini Monster,"This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it be treated as an Effect Monster with this effect:
● During your Main Phase, you can select 1 monster your opponent controls with an A-Counter(s), and take control of it while this card is on the field. During each of your End Phases, remove 1 A-Counter from each controlled monster. If all A-Counters are removed from one of these monsters, destroy it.",Reptile,Alien,0.58,0.13,1.0,1.18,0.49
99532708,Alien Mars,Effect Monster,"The effects of Effect Monsters with A-Counters are negated, except for ""Alien Mars"".",Reptile,Alien,0.21,0.13,1.0,1.27,0.39
58012107,Alien Psychic,Effect Monster,This card is changed to Defense Position when it is Normal Summoned or Flip Summoned. Monsters with A-Counters cannot declare an attack.,Reptile,Alien,0.25,0.1,1.5,0.5,0.39
25920413,Alien Skull,Effect Monster,"You can Tribute 1 face-up Level 3 or lower monster on your opponent's side of the field to Special Summon this card to your opponent's side of the field. If you Special Summon this monster this way, place 1 A-Counter on this card, and you cannot Normal Summon or Set the same turn. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)",Reptile,Alien,0.19,0.07,1.5,0.25,0.25
26593852,Ally of Justice Catastor,Synchro Monster,"1 Tuner + 1+ non-Tuner monsters
At the start of the Damage Step, if this card battles a face-up non-DARK monster: Destroy that monster.",Machine,Ally of Justice,0.31,0.31,0.99,0.25,0.39
89386122,Ally of Justice Clausolas,Normal Monster,"A mighty monster in Mist Valley, and the ultimate weapon designed from Claiomh Solais. Its surprise attacks from above baffle invaders.",Machine,Ally of Justice,0.09,0.05,0.99,0.2,0.25
36629203,Ally of Justice Core Destroyer,Effect Monster,"At the start of the Damage Step, if this card battles a LIGHT monster: Destroy that monster.",Machine,Ally of Justice,0.15,0.12,2.49,0.25,0.25
45586855,Ally of Justice Cyclone Creator,Tuner Monster,"Once per turn, you can discard 1 card from your hand to return Spell/Trap Cards from the field to the hand equal to the number of face-up Tuner monsters on the field.",Machine,Ally of Justice,1.4,1.03,8.0,4.45,1.99
45033006,Ally of Justice Enemy Catcher,Effect Monster,"When this card is Normal Summoned, you can take control of 1 face-down Defense Position monster your opponent controls, until the End Phase of this turn.",Machine,Ally of Justice,0.07,0.16,0.99,0.25,0.25
52265835,Ally of Justice Rudra,Effect Monster,"If this card battles a LIGHT monster, it gains 700 ATK during the Damage Step only.",Machine,Ally of Justice,0.08,0.09,2.0,0.2,0.25
80143954,Altergeist Camouflage,Trap Card,"Target 1 ""Altergeist"" monster you control; equip this card to it. Your opponent cannot target it for attacks, but it does not prevent your opponent from attacking you directly. Negate an opponent's monster effect that activates by targeting the equipped monster. If an ""Altergeist"" card(s) you control would be destroyed by battle or card effect, you can banish this card from your GY instead.",Normal,Altergeist,0.2,0.13,1.99,0.49,0.25
21187631,Altergeist Dragvirion,Synchro Monster,"1 Tuner + 1+ non-Tuner monsters
When an opponent's Special Summoned monster declares an attack: You can return 1 ""Altergeist"" monster you control to the hand; negate that attack. If this card is Tributed and sent to the GY: You can Special Summon this card. You can only use each effect of ""Altergeist Dragvirion"" once per turn.",Spellcaster,Altergeist,0.19,0.14,0.99,0.25,0.25
86885905,Altergeist Emulatelf,Trap Card,"Special Summon this card as an Effect Monster (Spellcaster/LIGHT/Level 4/ATK 1400/DEF 1800). (This card is also still a Trap.) If Summoned this way, while it is in the Monster Zone, other ""Altergeist"" Traps you control cannot be destroyed by card effects, also neither player can target them with card effects.",Continuous,Altergeist,0.12,0.05,0.99,0.25,0.25
1508649,Altergeist Hexstia,Link Monster,"2 ""Altergeist"" monsters
Gains ATK equal to the original ATK of each ""Altergeist"" monster it points to. When a Spell/Trap Card or effect is activated (Quick Effect): You can Tribute 1 ""Altergeist"" monster this card points to; negate the activation, and if you do, destroy that card. If this card is sent from the field to the GY: You can add 1 ""Altergeist"" card from your Deck to your hand. You can only use this effect of ""Altergeist Hexstia"" once per turn.",Spellcaster,Altergeist,0.63,0.23,1.19,0.65,0.79
52927340,Altergeist Kunquery,Effect Monster,"When an opponent's monster declares an attack, if you control an ""Altergeist"" card: You can Special Summon this card from your hand, and if you do, negate that attack. If this card is Special Summoned: You can target 1 face-up card your opponent controls; negate the effects of that card while it and this monster are face-up on the field.",Spellcaster,Altergeist,0.09,0.04,1.84,0.3,0.25
42790071,Altergeist Multifaker,Effect Monster,"If you activate a Trap Card (except during the Damage Step): You can Special Summon this card from your hand. If this card is Special Summoned: You can Special Summon 1 ""Altergeist"" monster from your Deck in Defense Position, except ""Altergeist Multifaker"". You cannot Special Summon monsters the turn you activate this effect, except ""Altergeist"" monsters. You can only use each effect of ""Altergeist Multifaker"" once per turn.",Spellcaster,Altergeist,0.12,0.12,0.99,1.99,0.79
57769391,Altergeist Pixiel,Effect Monster,"You can Tribute this card; excavate the top 3 cards of your Deck, add 1 excavated ""Altergeist"" card to your hand, also send the rest to the GY. You can only use this effect of ""Altergeist Pixiel"" once per turn.",Spellcaster,Altergeist,0.1,0.03,0.99,0.25,0.39
89538537,Altergeist Silquitous,Effect Monster,"(Quick Effect): You can return 1 other ""Altergeist"" card you control to the hand, then target 1 card your opponent controls; return it to the hand. If this card is sent from the field to the GY: You can target 1 ""Altergeist"" Trap in your GY; add that card to your hand. You can only use each effect of ""Altergeist Silquitous"" once per turn.",Spellcaster,Altergeist,0.12,0.04,0.99,0.49,0.49
27024795,Alviss of the Nordic Alfar,Effect Monster,"If only this card is banished by the effect of a ""Nordic"" Link Monster: You can send to the GY, 1 ""Nordic"" monster you control and 2 ""Nordic"" monsters from your Deck, whose total Levels equal 10, then Special Summon 1 ""Aesir"" monster from your Extra Deck. If an ""Aesir"" monster(s) in your possession is sent to your GY by your opponent's card: You can banish this card from your GY; Special Summon 1 ""Aesir"" monster from your Extra Deck, with a different name from the cards in your GY. You can only use this effect of ""Alviss of the Nordic Alfar"" once per Duel.",Spellcaster,Nordic,0.24,0.1,1.0,1.44,0.39
32181268,Amano-Iwato,Spirit Monster,"Cannot be Special Summoned. Monsters cannot activate their effects, except Spirit monsters. Once per turn, during the End Phase, if this card was Normal Summoned or flipped face-up this turn: Return this card to the hand.",Rock,,0.64,0.26,2.0,1.0,0.79
92650018,Amaze Attraction Horror House,Trap Card,"Target 1 ""Amazement"" monster you control or 1 face-up monster your opponent controls; equip this card to it. You can activate the following effect, based on which player controls the equipped monster;
● You: Target 1 Effect Monster your opponent controls; negate its effects until the end of this turn.
● Your opponent: Change the equipped monster to face-down Defense Position.
You can only use this effect of ""Amaze Attraction Horror House"" once per turn.",Normal,Attraction,0.97,1.26,1.84,0.25,0.99
67314110,Amazement Attendant Comica,Effect Monster,"When this card is Normal Summoned: You can Set 1 ""Attraction"" Trap directly from your Deck. (Quick Effect): You can target 1 of your ""Attraction"" Traps equipped to a monster; equip it to 1 ""Amazement"" monster you control or 1 face-up monster your opponent controls. You can only use this effect of ""Amazement Attendant Comica"" once per turn.",Machine,Amazement,1.07,0.53,1.78,8.27,1.49
33773528,Amazement Precious Park,Spell Card,"During your Main Phase, you can activate 1 ""Attraction"" Trap the turn it was Set. During the End Phase: You can send 1 ""Attraction"" Trap you control equipped to a monster to the GY, then target 1 of your ""Attraction"" Traps, with a different name, that is banished or in your GY; Set that card. You can only use each effect of ""Amazement Precious Park"" once per turn.",Field,Amazement,0.18,0.12,0.99,1.05,0.49
17968114,Amazon of the Seas,Normal Monster,A mermaid who serves as a herald to the Ocean Lord. She protects the sacred domain of Atlantis.,Fish,,3.07,0.02,4.79,6.08,2.99
29654737,Amazoness Chain Master,Effect Monster,"When this card is destroyed by battle and sent to the GY: You can pay 1500 LP; look at your opponent's hand, then add 1 monster from their hand to your hand.",Warrior,Amazoness,0.22,0.2,1.98,10.28,0.79
55821894,Amazoness Fighter,Effect Monster,You take no battle damage from attacks involving this card.,Warrior,Amazoness,0.22,0.16,2.79,4.99,0.99
36100154,Amazoness Fighting Spirit,Spell Card,"If an ""Amazoness"" monster attacks a monster with higher ATK, the attacking monster gains 1000 ATK during damage calculation only.",Continuous,Amazoness,0.24,0.23,1.75,1.18,0.99
62480168,Amazoness Hot Spring,Trap Card,"When this card is activated: You can add 1 ""Amazoness"" monster to your hand, or place 1 ""Amazoness"" Pendulum Monster in your Pendulum Zone, from your Deck. When you take battle damage while you control an ""Amazoness"" Monster Card: You can gain LP equal to the damage you took. You can only use this effect of ""Amazoness Hot Spring"" once per turn.",Continuous,Amazoness,0.21,0.14,1.5,3.06,0.39
53162898,Amazoness Sage,Effect Monster,"At the end of the Damage Step, if this card attacked and is still on the field: Target 1 Spell/Trap your opponent controls; destroy that target.",Warrior,Amazoness,0.23,0.17,2.0,1.99,0.49
97870394,Amazoness Spiritualist,Effect Monster,"If this card is in your hand or GY: You can target 1 ""Amazoness"" card you control, except ""Amazoness Spiritualist""; you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except ""Amazoness"" monsters, also return the targeted card to the hand, and if you do, Special Summon this card. If this card is Special Summoned: You can add 1 ""Polymerization"" from your Deck to your hand. You can only use each effect of ""Amazoness Spiritualist"" once per turn.",Warrior,Amazoness,0.05,0.05,0.99,9.99,0.25
36378213,Ambulanceroid,Effect Monster,"When a ""roid"" monster is added from your Graveyard to your hand, you can Special Summon that monster.",Machine,Roid,0.08,0.08,0.99,0.99,0.49
98287529,"Amorphactor Pain, the Imagination Dracoverlord",Ritual Effect Monster,"You can Ritual Summon this card with ""Amorphous Persona"". If this card is Ritual Summoned: Your opponent skips their next Main Phase 1. Negate the effects of face-up Fusion, Synchro, and Xyz Monsters while they are on the field. If this card is sent from the field to the Graveyard: You can add 1 ""Dracoverlord"" monster from your Deck to your hand, except ""Amorphactor Pain, the Imagination Dracoverlord"".",Dragon,Dracoverlord,0.11,0.05,2.5,1.01,0.39
33300669,Amorphage Envy,Pendulum Effect Monster,"[ Pendulum Effect ] 
While you control an ""Amorphage"" monster, neither player can activate cards or effects as Chain Link 2 or higher. Once per turn, during your Standby Phase, Tribute 1 monster or destroy this card.
[ Monster Effect ] 
If this card is Pendulum Summoned or flipped face-up, neither player can Special Summon monsters from the Extra Deck while this card is face-up on the field, except ""Amorphage"" monsters.",Dragon,Amorphage,0.23,0.15,2.99,0.99,0.39
47598941,Amorphage Lysis,Trap Card,"All monsters on the field, except ""Amorphage"" monsters, lose 100 ATK and DEF for each ""Amorphage"" card on the field. If a card(s) in your Pendulum Zone is destroyed (except during the Damage Step): You can place 1 ""Amorphage"" Pendulum Monster from your Deck in your Pendulum Zone. You can only use this effect of ""Amorphage Lysis"" once per turn.",Continuous,Amorphage,0.23,0.1,3.95,0.39,0.39
23160024,Amorphous Persona,Spell Card,"All ""Amorphage"" monsters on the field gain 300 ATK and DEF. Up to twice per turn, if an ""Amorphage"" monster(s) you control is Tributed, draw 1 card. You can banish this card from your Graveyard; Tribute Pendulum Monsters from your hand or field whose total Levels exactly equal 8, then Ritual Summon 1 ""Amorphactor Pain, the Imagination Dracoverlord"" from your hand.",Field,Amorphage,0.19,0.16,1.75,0.59,0.49
40173854,Amphibious Bugroth,Fusion Monster,"""Ground Attacker Bugroth"" + ""Defender of the Sea""",Aqua,,0.89,2.09,1.0,0.98,2.99
4754691,Amphibious Bugroth MK-11,Effect Monster,"While ""Umi"" is not on the field, this card gains 700 ATK, also it cannot attack directly. If ""Umi"" is on the field: You can target 1 face-up non-WATER monster on the field; destroy it. You can only use this effect of ""Amphibious Bugroth MK-11"" once per turn.",Machine,Bugroth,0.07,0.02,0.99,0.45,0.39
64342551,Amphibious Bugroth MK-3,Effect Monster,"While ""Umi"" is face-up on the field, this card can attack your opponent's Life Points directly.",Machine,Umi,0.07,0.13,0.99,8.85,0.25
75380687,Amulet Dragon,Fusion Monster,"""Dark Magician"" + 1 Dragon monster
Must be Fusion Summoned with the above Fusion Materials or with ""The Eye of Timaeus"". If this card is Special Summoned: Target any number of Spells in any GY(s) (min.1); banish those targets, and if you do, this card gains 100 ATK for each card banished by this effect. If this card is destroyed: You can target 1 Spellcaster monster in your GY; Special Summon that target.",Dragon,Dark Magician,0.5,0.5,3.24,2.95,0.99
61160289,"Amunessia, the Ogdoadic Queen",Effect Monster,"If this card is in your GY: You can Tribute 2 monsters; Special Summon this card. If a monster(s) is Special Summoned from your opponent's GY (except during the Damage Step): You can send 1 card they control to the GY. If a monster(s) is sent from your opponent's hand or Deck to the GY (except during the Damage Step): You can Special Summon 1 LIGHT or DARK Reptile monster from your GY, except ""Amunessia, the Ogdoadic Queen"". You can only use each effect of ""Amunessia, the Ogdoadic Queen"" once per turn.",Reptile,Ogdoadic,1.65,2.4,1.94,2.75,1.99
25862681,Ancient Fairy Dragon,Synchro Monster,"1 Tuner + 1+ non-Tuner monsters
Once per turn: You can Special Summon 1 Level 4 or lower monster from your hand. You cannot conduct your Battle Phase the turn you activate this effect. Once per turn: You can destroy as many Field Spells on the field as possible, and if you do, gain 1000 LP, then you can add 1 Field Spell from your Deck to your hand.",Dragon,,0.31,0.22,3.4,5.93,0.49
26304459,Ancient Flamvell Deity,Synchro Monster,"1 FIRE Tuner + 1 or more non-Tuner Pyro-Type monsters
When this card is Synchro Summoned, remove from play cards from your opponent's Graveyard up to the number of cards in their hand. This card gains 200 ATK for each card removed from play by this effect.",Pyro,Flamvell,0.23,0.21,0.99,1.06,0.25
